Products,ADM2,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021
Хонины мах_кг,Алдархаан,"3,500.","3,500.","3,500.","3,500.","3,500.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","4,500.","4,500.","4,500.","4,500.","6,500.","6,500.","6,750.","7,000.","7,000.","7,000.","6,500.","6,500.","6,000.","5,500.",,,,,,,,,"7,000.","7,000.","7,000.",,,,,,,,,,,,,,,
Хонины мах_кг,Баянтэс,"3,667.","3,666.67","3,666.67","3,666.67","3,666.67","3,666.67","3,666.67","3,666.67","5,166.67","5,166.67","5,166.67","4,333.33","4,333.","4,333.33","3,666.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Хонины мах_кг,Их-Уул,"3,667.","3,666.67","3,666.67","3,666.67","6,500.","6,500.","6,500.","5,166.67","5,333.33","5,333.33","5,333.33","4,000.","4,000.","4,000.","4,000.","4,000.","5,666.67","6,500.","6,500.","6,500.","6,500.","6,500.","5,500.","5,500.","6,000.","6,000.","6,000.","6,000.","7,500.","7,500.","7,500.","7,500.","7,500.","8,000.","8,000.","7,000.","7,000.","7,000.","6,500.",,"8,000.","8,500.","8,500.","8,500.","8,500.","8,500.","8,500.","7,800.",,"6,500.","6,500."
Хонины мах_кг,Отгон,"3,500.","3,500.","3,500.","3,500.","3,500.","5,833.33","5,833.33","5,833.33","5,500.","5,500.","5,500.","4,000.","4,000.","4,000.","4,000.","4,000.","4,000.","5,166.67","4,000.","4,000.","4,000.","4,000.","4,000.","4,000.","5,000.","5,000.","5,333.33","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.",,,,,,,,,,,,,,,,,,
Хонины мах_кг,Тосонцэнгэл,"3,667.","3,666.67","3,666.67","3,666.67","3,666.67","5,166.67","6,166.67","5,666.67","5,333.33","5,333.33","4,500.","3,666.67","4,000.","4,166.67","4,166.67","4,166.67","4,166.67","6,000.","5,333.33","5,333.33","5,333.33","5,333.33","5,333.","5,333.33","5,500.","5,500.","5,500.","5,500.","7,333.","7,333.","7,333.","7,333.","7,333.","7,333.","7,500.",,"7,500.","7,500.","7,500.","7,500.","8,500.","8,500.","8,500.","8,500.","8,500.","8,500.","8,500.","8,500.","8,500.","8,500.","8,500."
Хонины мах_кг,Тэлмэн,"3,333.","3,333.33","3,333.33","3,333.33","3,333.33","6,166.67","6,166.67","5,500.","5,333.33","5,333.33","4,666.67","3,666.67","3,667.","3,666.67","3,666.67","3,666.67","3,666.67","3,666.67","3,666.67","3,666.67","3,666.67","3,666.67","3,667.","3,666.67","3,667.","3,666.67","3,666.67","3,667.","3,667.","3,667.","5,000.","5,000.","5,000.","12,000.","12,000.","12,000.","12,000.","3,667.","3,667.","3,667.","3,667.","3,667.","4,000.","8,000.","8,000.","8,000.","8,500.",,,,
Хонины мах_кг,Тэс,"3,667.","3,666.67","3,666.67","3,666.67","3,666.67","6,000.","6,000.","5,166.67","5,333.33","5,333.33","5,333.33","3,133.33","3,667.","3,666.67","3,666.67","3,666.67","3,666.67","3,666.67",,,,,,"4,800.",,,,,,,,,,,,,,,,,,,,,,,"8,000.","8,000.","8,000.","8,000.","8,000."
Хонины мах_кг,Баян-Уул,,,,,,,,,,,,,"2,800.","2,800.","2,800.","2,800.","5,500.","7,000.","7,000.","7,000.",,,,,,"4,800.","4,800.","4,800.","6,000.","8,000.","8,000.","8,000.","8,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000."
Хонины мах_кг,Дэлгэр,,,,,,,,,,,,,,,,,,,,"5,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.",,,,,,,,,,,,,,,,,,,,,,,
Хонины мах_кг,Цогт,,,,,,,,,,,,,"3,200.","3,200.","3,200.","3,200.","5,500.","5,500.","5,500.","3,200.","3,200.",,,,"3,200.","4,500.","4,500.","4,500.","6,500.","6,500.","6,500.","6,500.","6,500.","6,500.","6,500.","6,500.",,,,,"5,750.","5,750.","5,750.","5,750.","5,750.","5,750.","5,750.","5,750.","5,750.","5,750.","5,750."
Хонины мах_кг,Эрдэнэ,,,,,,,,,,,,,,,,,"5,500.","5,200.","5,200.","5,200.","5,200.","4,600.","5,133.33","5,033.33","5,333.","5,333.33","5,333.33","5,133.","6,500.","6,167.","6,167.","6,167.","6,167.","6,167.","6,167.","6,167.","6,167.","6,333.","6,000.","6,000.","5,833.","6,667.","7,333.33","7,333.33","6,166.67","6,166.67","6,166.67","6,166.67","7,333.33","7,333.33","7,333.33"
Хонины мах_кг,Булган,"5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","4,000.","4,000.","4,000.","4,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.",,,,,,,,,,,"6,000.",,,,,,,"5,000.","5,000.","5,000.","5,000.",,,,,,,,,,,,,,
Хонины мах_кг,Дэлүүн,"4,500.","4,500.","4,300.","4,500.","4,500.","4,500.","4,500.","5,000.","5,000.","5,500.","5,500.","5,000.","5,500.","5,500.","5,500.","5,500.","5,500.","6,500.","6,500.","6,500.","7,500.","6,000.","6,000.","6,000.","6,000.","6,500.","6,500.","7,000.","7,000.","9,000.","8,500.","8,500.","7,500.","6,000.","6,500.","6,500.","6,500.","6,500.","6,500.","6,500.","6,500.","6,500.","6,000.","6,000.","6,500.","6,500.","6,500.","7,000.","7,500.","8,000.","8,000."
Хонины мах_кг,Ногооннуур,"5,000.","5,000.","5,000.","5,000.","5,000.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Хонины мах_кг,Сагсай,"4,000.","4,000.","4,000.","4,000.","5,500.","5,500.","5,500.","7,500.","7,500.","5,500.","5,500.","5,000.","4,500.","4,500.","4,500.","4,500.","4,500.","7,500.","7,500.","7,500.","6,500.","6,500.","5,500.","5,000.","6,500.","7,000.","7,000.","7,000.","7,000.","10,000.","10,000.","10,000.","10,000.","10,000.","6,500.","6,500.","6,500.","6,500.","7,000.","7,000.","8,000.","8,000.","8,500.","8,500.","8,500.","8,500.","8,500.","8,500.","8,500.","8,500.","8,500."
Хонины мах_кг,Улаанхус,,,,,,"4,000.","4,000.","4,750.","4,750.","4,500.","4,000.","4,000.","4,000.",,,,,"7,500.","7,333.","7,333.33","7,333.","6,933.","5,333.","5,333.","5,333.","5,333.33","5,333.33","5,333.","5,333.","5,333.","7,500.","7,500.","7,500.","7,500.","7,500.","7,500.",,,,,,,,,,,,,,,
Хонины мах_кг,Цэнгэл,"4,100.","4,100.","4,100.","4,100.","4,100.","4,667.","6,000.","6,000.","6,000.","6,000.","6,000.","5,833.","5,833.","5,833.","5,833.","5,833.","5,833.","5,833.","5,833.","5,833.","5,833.","5,833.","5,833.","5,833.","5,833.","5,833.33","5,833.33","5,833.","5,833.",,,"5,833.","5,833.","8,333.","8,333.","8,333.","8,333.","8,333.","8,333.","8,333.","8,333.","8,333.","8,333.33","8,333.33","8,333.33","8,333.33","8,333.33","8,333.33","8,333.33","8,333.33","8,333.33"
Хонины мах_кг,Булган,"5,500.","5,500.","5,500.","5,500.","5,500.","5,500.","5,500.","5,500.","5,500.","5,500.","5,250.","5,250.","5,250.","5,250.","5,250.","5,250.","5,250.","5,250.","5,250.","5,500.","6,500.","6,500.","6,500.","6,500.","7,000.","7,000.","6,500.","7,000.","7,000.","7,000.","7,000.","7,000.","7,000.","7,000.","7,500.","7,500.","7,500.","7,500.","7,500.","7,500.","7,500.","8,500.","8,500.","9,000.","7,500.","7,500.","8,500.","8,500.","8,500.","8,500.","8,500."
Хонины мах_кг,Зэрэг,,,,,,,,,,,,,"3,000.","3,000.","3,000.","4,500.","4,500.","5,500.","5,500.",,,,,,,,,,,"10,000.","10,000.","10,000.","10,000.","10,000.","10,000.","10,000.",,,,,,,,,,,"7,500.","7,500.","7,500.","7,500.","7,500."
Хонины мах_кг,Манхан,,,,,,,,,"7,500.","4,000.","4,000.","4,000.","4,000.","4,000.","7,000.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Хонины мах_кг,Мянгад,,,,,,,,,,,"3,333.","3,333.","3,333.33","3,333.33","5,500.","5,500.","5,500.","7,000.","8,500.","5,333.33","8,500.","5,500.","5,500.","5,500.","7,250.","8,000.","8,000.",,,,,,,,,,,,,,,,,"8,500.",,,,,,,
Хонины мах_кг,Үенч,,,,"5,500.","5,500.","5,500.","5,500.","5,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","5,166.67","5,166.67","5,166.67","6,500.","5,166.67","5,166.67","5,166.67","5,166.67","6,333.","6,333.33","6,500.","10,000.","10,000.","9,000.","9,000.","9,000.","9,000.","9,000.","7,500.","6,500.","6,000.","6,500.","6,500.","6,500.","7,000.","8,500.","7,500.","9,000.","8,000.","8,000.","8,000.","7,500.","7,500.",,
Хонины мах_кг,Ховд,,,,,,,,,,,,,"4,016.67","4,016.67","5,050.","4,937.5","5,479.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,750.",,,,,
Хонины мах_кг,Наранбулаг,,,,,"4,000.",,,,,,,,,,,,,,,,,,"4,000.","4,000.","4,000.","4,500.","5,500.","5,500.","5,500.",,,,,,"5,500.",,,,,,,,,,,,,,,,
Хонины мах_кг,Өмнөговь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,000.","6,000.","6,500.",,,,,,,,,,,,,
Хонины мах_кг,Тариалан,,,,,,,,,,,,,,,"4,000.","4,500.",,,,,,,,,,,,,"9,800.",,,,,,,,,,,,,,,,,,,,"8,000.","8,000.","8,000."
Хонины мах_кг,Тэс,,,,,,,,"4,000.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Хонины мах_кг,Хяргас,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,500.","5,500.",,,,,,,,,,,,,,,
Хонины мах_кг,Бат-Өлзий,"4,000.","4,500.","4,500.","5,500.","6,500.",,"6,000.","6,000.","5,000.","4,500.","4,500.","4,500.","4,000.","4,000.","4,500.","4,500.","5,500.","6,500.","6,000.","6,000.","5,500.","6,000.","6,000.","6,000.","6,000.","7,000.","7,000.","7,000.","7,000.","9,500.","9,500.","9,500.","6,500.","7,500.","6,500.","6,000.","6,500.","6,500.","7,000.","9,500.","9,500.","10,000.","9,000.","8,000.","7,500.","7,500.","7,500.","6,500.","7,500.","7,500.","7,500."
Хонины мах_кг,Богд,"3,583.","3,833.","5,000.","6,000.","6,000.",,"5,000.","5,000.","5,167.","4,833.33","4,500.","2,800.","2,800.","2,800.","2,800.","2,800.","2,800.","6,500.","6,500.","6,500.","6,500.","6,500.","6,500.","6,500.","6,500.","5,000.","5,500.","5,500.","5,500.","5,500.","6,500.","6,500.","6,500.","6,500.","6,500.","6,000.","6,000.","6,000.",,"7,250.","7,250.","7,250.","8,250.","9,000.","6,000.","6,000.","6,500.","6,500.","6,500.","6,500.","6,500."
Хонины мах_кг,Зүүнбаян-Улаан,,,,,"5,000.",,,,"5,500.","4,500.","4,000.","3,000.","3,000.","3,000.","3,000.","3,000.","3,000.",,,"4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","5,000.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.",,,,,,,,,,,,,
Хонины мах_кг,Уянга,"3,500.","3,500.","3,500.","5,500.","5,500.","5,500.","4,833.","5,500.","5,500.","4,500.","4,500.","4,000.","3,500.","4,000.","4,167.","4,333.","4,667.","6,500.","2,400.","5,500.","5,500.","4,000.","4,500.","5,000.","5,000.","5,500.","5,333.33","5,333.","5,500.","7,500.","7,500.","7,500.","7,500.","6,667.","6,000.","5,500.","5,500.","5,500.","5,500.",,,"11,000.","9,000.","7,500.","6,500.","6,500.","6,500.","6,500.","6,500.","7,000.","7,000."
Хонины мах_кг,Хархорин,"4,000.","4,000.","4,000.","6,000.","6,500.",,"5,000.","4,933.","5,000.","4,000.","3,500.","4,500.","4,500.","4,500.","4,500.","5,500.","6,500.","6,000.","6,000.","5,500.","5,500.","5,500.","5,500.","5,000.","6,000.","5,500.","6,500.","6,500.","6,500.","8,000.","8,000.","8,000.","8,000.","7,000.","7,000.","7,000.","7,000.","7,000.","7,000.","9,500.","9,500.","9,500.","9,500.","8,166.67","6,500.","7,000.","7,000.","7,000.","7,000.","7,500.","7,500."
Хонины мах_кг,Хужирт,"3,900.","4,500.","5,000.","6,000.","6,000.",,"6,000.","6,000.","5,500.","4,000.","4,000.","4,000.","4,000.","4,000.","4,667.","7,000.","6,500.","5,500.","5,000.","5,000.","4,500.","4,833.33","4,500.","4,500.","5,000.","4,833.33","6,000.","7,000.","7,500.","7,500.","7,250.","7,250.","7,250.","5,500.","5,500.","5,500.","5,500.","5,500.","5,500.",,"8,833.","8,833.","8,500.","7,000.","8,500.","8,500.","5,500.","6,500.","6,500.","7,000.","7,000."
Хонины мах_кг,Рашаант,,,,,,,,,,,,,,,,,,,,,"4,500.","4,000.","4,500.","4,000.",,"5,000.","5,000.",,,,,,,,,,,,,,,,,,,,"7,500.",,,,
Хонины мах_кг,Сэлэнгэ,"5,500.","6,000.","6,000.","6,500.","6,500.","6,500.","7,000.","6,500.","5,500.","6,000.","6,000.","5,500.","5,500.","5,500.","6,000.","6,000.","6,500.","6,500.","6,500.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.",,,,,,,,"7,000.",,,,"7,000.",,"8,000.","8,500.","8,500.",,,"10,000.","7,500.","7,500.",,,,,
Хонины мах_кг,Тэшиг,"5,500.","6,000.","5,500.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,500.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,500.","6,500.","6,000.","6,000.","5,000.","5,500.","5,500.","5,000.","5,000.","6,000.","6,000.","6,000.","8,000.","8,000.","8,000.","8,000.","8,500.","8,500.","8,500.","8,500.","8,500.","8,500.","8,500.","8,500.","8,500.","8,500.","9,000.","9,000.","9,000.","9,000.","9,000.","8,500.","8,500.","7,500.","7,500."
Хонины мах_кг,Хангал,"4,500.","4,500.","4,500.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,800.","9,800.","9,800.",,,,,,,,
Хонины мах_кг,Хутаг-Өндөр,,,,,,"7,000.","7,000.","7,000.","7,000.","5,000.","5,000.","6,000.","5,000.","5,000.","5,000.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Хонины мах_кг,Баянлиг,"2,500.","2,500.","2,400.","2,300.","2,350.","2,500.","2,433.","2,367.","2,367.","2,300.","2,300.","2,300.",,,,,,"7,500.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Хонины мах_кг,Бууцагаан,"3,500.","3,800.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Хонины мах_кг,Галуут,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,500.",,,"7,500.","7,500.","7,500.","7,500.","6,000.","7,500.","7,500.","8,000.","8,000."
Хонины мах_кг,Жинст,,,,,,"5,500.","5,500.","5,000.","5,000.","5,500.","4,500.","4,000.","4,500.","5,500.","5,500.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Хонины мах_кг,Эрдэнэцогт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,500.","5,500.","5,500.",,,
Хонины мах_кг,Жаргалант,"4,800.","2,400.","4,800.","4,800.","4,800.","4,800.","4,800.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,500.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Хонины мах_кг,Ихтамир,"5,000.","5,000.","5,000.","5,300.","5,300.","5,500.","5,500.","5,000.","5,000.","5,000.","5,000.","5,000.","5,500.","5,500.","5,500.","5,500.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Хонины мах_кг,Өндөр-Улаан,"4,800.","4,800.","4,800.","4,800.","4,800.","4,800.","4,800.","4,800.","4,800.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.",,,"5,000.",,,,,,,,,,,,,,,,,,,,,,,,,,"7,500.",,,,,,
Хонины мах_кг,Тариат,"4,400.","4,400.","4,400.","5,400.","5,400.","5,400.","5,400.","5,400.","5,400.","5,400.","5,400.","5,000.","5,400.","5,400.","5,400.","5,500.","5,500.","5,500.","5,000.","5,000.","5,000.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Хонины мах_кг,Хотонт,"4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","5,000.","5,000.","5,000.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","6,000.","6,000.","6,000.","7,000.","7,000.","7,000.","7,500.","7,500.","7,500.","7,500.","7,500.","7,500.","7,500.","7,500.","7,500.","7,500.","7,500.","10,000.","10,000.",,"10,000.","10,000.","10,000.","6,500.","6,500.","6,500."
Хонины мах_кг,Цэнхэр,"5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","4,500.","4,500.","4,500.","4,500.","4,500.","5,250.","5,750.","6,500.","6,500.","6,500.","5,833.33","6,000.","6,000.","6,500.","6,500.","6,500.","6,500.","6,500.","6,500.","6,500.","8,250.","8,250.","8,250.","8,250.","8,250.","8,250.","8,250.","8,000.","8,000.","8,167.","8,500.",,"10,000.","8,433.33","10,000.","8,000.","8,250.","8,250.","8,250.","8,250.","8,250."
Хонины мах_кг,Эрдэнэмандал,"5,000.","2,500.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","4,000.","4,266.67","4,866.67","4,866.67","5,000.","5,000.","5,000.","4,500.","4,500.","5,000.","5,000.",,,"5,500.","6,000.","7,200.","7,200.","7,200.","7,000.","5,000.","5,000.","5,167.","5,167.","5,167.","6,000.","6,500.","6,500.","7,500.","8,500.","8,500.","8,000.","8,500.","8,000.","8,000.","8,000.","8,000.","8,000."
Хонины мах_кг,Галт,,,"4,250.","4,250.","4,250.","4,600.","5,000.","5,000.",,,,,"3,500.","3,500.",,,,,,,,,,,"4,800.","4,800.","4,800.",,,,,,"7,000.","7,500.","5,000.","5,000.","5,000.",,,,"8,500.",,,"8,000.",,,"6,000.",,,"7,000.","7,000."
Хонины мах_кг,Жаргалант,"4,100.","4,100.","4,000.","4,167.","5,333.","5,750.","6,000.","5,500.","5,000.","5,000.","5,000.","3,500.","3,500.","3,500.","4,000.","4,000.","4,000.","4,000.","4,000.","6,000.","4,000.",,"4,500.","4,500.","5,500.","5,500.","5,500.","5,500.","5,500.","7,000.","7,500.","5,500.","7,500.","5,200.","7,500.","7,500.","7,500.","5,500.","6,000.","6,000.","5,000.","8,500.","8,500.","8,500.","8,500.","8,500.","10,000.","8,000.","8,000.","6,500.","6,500."
Хонины мах_кг,Ренчинлхүмбэ,,,,,,,,,,,,"5,000.",,,,,"4,000.","4,000.","4,000.","4,000.","4,000.",,,,,,,,,,,,,,,"5,000.","5,000.","5,500.","5,500.","5,500.","5,500.","5,500.","5,500.","5,500.","5,500.","5,500.","5,500.","5,500.","5,500.","5,500.","5,500."
Хонины мах_кг,Тариалан,"4,500.","4,500.","4,500.","5,500.","5,500.","5,500.","5,500.","5,500.","4,000.","4,500.","4,500.","4,000.","4,000.","4,833.33","4,966.67","5,466.67","5,666.67","6,033.33","5,133.33","5,133.33","4,967.","4,966.7","4,933.33","4,933.33","5,500.","5,500.","6,000.","6,000.","8,000.","7,500.","7,500.","7,000.","6,750.","6,750.","5,500.","5,000.","5,000.","7,000.","7,000.","5,000.","6,900.","8,250.","8,000.","7,833.33","8,000.","7,833.33","7,166.67","7,166.67","6,833.33","6,833.33","6,833.33"
Хонины мах_кг,Төмөрбулаг,,"3,800.",,,,,,,,,,"4,000.",,,,,,,,,,,,"5,500.","5,500.","5,500.","5,500.",,,,,,"5,500.","5,500.","5,500.","5,000.","5,000.","6,000.","7,000.","7,000.","8,500.","8,500.","8,250.",,"8,250.","7,000.","7,000.","5,500.","6,500.",,
Хонины мах_кг,Улаан-Уул,"6,500.","6,500.","6,500.","6,500.","6,500.","7,000.","7,000.","5,500.","6,500.","6,000.","6,000.","6,000.","6,000.",,"6,500.","6,500.","6,500.","6,500.","6,500.","6,500.","5,000.","5,500.","5,500.","5,500.","6,500.","6,500.","6,000.","5,833.","7,167.","8,000.","8,000.","8,000.","8,000.","8,000.","6,650.","6,800.","6,800.","6,000.",,,"8,000.",,"8,000.","8,000.",,"7,000.","7,000.","7,000.",,,
Хонины мах_кг,Цагаан-Уул,"4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","5,000.","5,000.","5,000.","4,500.","4,500.","4,500.","4,500.","4,000.","4,000.","4,000.","4,000.","4,000.","6,000.","6,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,500.","6,000.","7,500.","6,500.","6,500.","6,500.","6,500.","6,500.","5,500.","5,500.","6,500.","6,800.","7,000.","8,500.","8,500.","8,500.","8,500.","8,500.","8,500.","7,000.","7,000.","7,000.","7,000.","7,000."
Хонины мах_кг,Цэцэрлэг,,,,,,,,,"5,333.33","5,333.33","5,500.","5,500.","5,333.33",,,,,,,"5,500.","5,500.","5,166.67","5,166.67","5,500.","5,500.","5,500.","5,500.","5,500.","5,617.","6,500.","6,500.","6,550.","8,000.","6,550.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","6,000.","6,000.","5,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000."
Хонины мах_кг,Батсүмбэр,"4,800.","4,250.","5,000.","6,500.","6,250.","6,250.","5,750.","6,000.","5,650.","4,750.","5,000.","4,000.","5,000.","5,067.","5,500.","5,250.","5,500.","7,000.","6,500.","6,566.67","6,166.67","6,500.","6,250.","6,750.","6,833.","7,333.33","7,000.","8,500.","9,667.","9,333.","9,500.","9,000.","9,000.","7,333.","7,000.","7,000.","7,167.","8,167.","8,500.","8,333.","8,333.","11,333.","11,000.","9,250.","9,250.","7,666.67","7,500.","7,600.","8,666.67","8,100.","8,100."
Хонины мах_кг,Баянчандмань,"5,667.","5,933.","5,833.","7,000.","7,000.","6,500.","6,000.","5,500.","5,500.","5,000.","5,167.","5,167.","5,166.67","5,666.67","6,000.","5,833.33","6,166.67","6,833.33","6,833.33","6,500.","6,166.67","6,500.","6,500.","6,500.","7,500.","7,500.","8,000.","8,500.","10,000.","9,500.","9,500.","9,000.","9,000.","7,833.","7,500.","7,500.","8,000.","8,333.","8,500.","8,667.","9,500.","10,500.","11,000.","11,000.","8,500.","8,500.","8,500.","8,500.","8,500.","9,000.","9,000."
Хонины мах_кг,Борнуур,"6,167.","6,167.","5,000.","5,167.","5,167.","5,167.","6,000.","6,500.","6,500.","6,500.","4,500.","4,500.","4,500.","4,667.","5,000.","5,000.","5,000.","5,000.","6,500.","6,500.","6,500.","5,666.67","5,833.33","6,166.67","6,500.","6,500.","6,333.33","7,500.","9,500.","8,500.","7,667.","8,333.","8,333.","8,333.","6,667.","6,167.","6,500.","6,500.","6,867.","8,500.","9,500.","10,000.","9,500.","8,500.","8,166.67","8,166.67","7,500.","7,500.","8,500.","8,500.","8,500."
Хонины мах_кг,Бүрэн,"4,500.","4,000.","4,000.",,,,,,"4,500.","4,000.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.",,"5,000.","5,000.","4,500.","4,500.","4,500.","4,500.","5,500.","5,500.","5,500.","5,500.","5,500.","6,500.","6,500.","6,500.","6,500.","6,500.","6,500.","6,500.",,"6,000.","8,000.","8,000.","8,000.","8,000.","8,000.","8,000.","7,000.","5,000.","5,500.","5,500.","5,500.","7,500.","7,500."
Хонины мах_кг,Жаргалант,"5,500.","6,000.","6,000.",,,"6,750.","6,750.","6,500.",,,,"4,000.",,,"4,500.",,,,,,,,,,,,,,"9,000.","9,500.","9,500.","9,000.","9,000.","9,000.","9,000.","8,500.",,,,,,,"10,500.","10,500.","10,500.","9,000.","8,500.","8,500.","7,500.","7,500.","7,500."
Хонины мах_кг,Заамар,"6,500.","6,500.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,500.",,,,,,,,,,,,,,,,,,
Хонины мах_кг,Эрдэнэ,,"5,000.","5,000.","6,000.","6,500.","6,000.","6,000.","6,000.","6,000.","6,000.","5,000.","5,000.","5,000.","5,500.",,"6,000.","6,000.","6,000.","6,000.","6,000.","6,000.",,"6,000.","6,000.",,,"7,000.",,"8,600.",,,,,,,,"5,500.",,,,"8,800.","8,800.","8,500.","8,800.",,,,"8,500.","8,000.","8,500.","8,500."
Хонины мах_кг,Эрдэнэсант,"6,000.","6,000.","5,000.",,"5,000.","5,000.","5,000.","4,000.","4,000.","4,000.","4,000.","4,000.","4,000.","4,000.","4,000.","4,000.","4,000.","4,000.","4,000.","4,000.","5,000.","6,000.","6,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.",1.,"5,000.","6,000.","6,000.","7,500.","9,000.","9,000.","9,000.","9,000.","9,000.","9,000.","9,000.","9,000.","6,500.","6,500.","6,500."
Хонины мах_кг,Алтанбулаг,"7,500.","7,500.","7,500.","7,500.","7,500.","6,500.","6,500.","6,500.","6,500.","6,500.","6,500.","5,833.33","5,833.33","5,833.33","6,333.33","6,333.33","6,333.33","6,766.67","6,700.","6,700.","6,766.67","6,766.67","6,766.67","6,000.","6,000.","6,000.","6,000.","8,600.","8,600.","9,000.","9,000.","9,000.","9,000.","9,000.","9,000.","9,000.","7,500.","7,500.","7,500.","8,500.","9,000.","9,000.","9,000.","9,000.","6,800.","6,800.","6,800.","7,500.","7,000.","7,000.","7,000."
Хонины мах_кг,Баянгол,"6,500.","5,750.","5,750.","5,750.","5,750.","5,750.","5,750.","5,750.","5,400.","5,000.","5,400.","4,500.","4,500.","4,500.","4,500.","4,500.","6,500.","6,800.","6,800.","7,000.","5,800.","6,500.","5,500.","5,500.","5,500.","6,500.","6,500.","9,000.","9,500.","9,500.","9,500.","8,500.","8,500.","9,500.","8,500.","8,500.","8,500.","8,500.","9,500.","10,000.","9,000.","9,000.","8,500.","7,500.","8,500.","8,500.","8,500.","7,500.","9,000.","9,000.","9,000."
